Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
,Sep,22-27,2,Gallup,DT,21.0,-1.0,57.5,1.0,15.5,-1.5,,,-36.5,-2.0,,,,,,,,,,,,,,,,,,,,
,Sep,24-26,30,MORI,Econ,25.0,0.0,52.0,-2.0,18.0,1.0,,,-27.0,2.0,,,,,,,,,,,,,,,,,,,,
,Sep,28-3,10,Gallup,DT,25.5,4.5,54.0,-3.5,16.5,1.0,,,-28.5,8.0,,,,,,,,,,,,,,,,,,,,
,Sep,1/9-4/10,,G9000,,22.8,-0.2,55.5,0.0,16.7,0.1,,,-32.7,-0.2,,,21.2,71.7,-50.5,46.3,14.0,32.3,53.2,27.4,25.8,,16.5,39.4,14.7,,12.4,77.1,-64.7,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,7-8,12,ICM,GU,32.0,-1.0,49.0,4.0,15.0,-3.0,,,-17.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Oct,20-24,28,MORI,TT,25.0,0.0,57.0,5.0,14.0,-4.0,,,-32.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Oct,27-31,4,Gallup,DT,21.5,-4.0,56.5,2.5,17.0,0.5,,,-35.0,-6.5,,,,,,,,,,,,,,,,,,,,
,Oct,5/10-1/11,,G9000,,22.8,0.0,56.7,1.2,15.5,-1.2,,,-33.9,-1.2,,,21.9,70.2,-48.3,50.6,15.4,35.2,50.6,28.9,21.7,,17.2,40.8,13.7,,12.7,76.4,-63.7,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,4-5,9,ICM,GU,31.0,-1.0,49.0,0.0,16.0,1.0,,,-18.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Nov,17-21,24,MORI,TT,24.0,-1.0,55.0,-2.0,17.0,3.0,,,-31.0,1.0,,,,,,,,,,,,,,,,,,,,
,Nov,30-5,9,Gallup,DT,21.5,0.0,61.0,4.5,13.5,-3.5,,,-39.5,-4.5,,,,,,,,,,,,,,,,,,,,
,Nov,21-29?,,G9000,,23.2,0.4,57.4,0.7,15.0,-0.5,,,-34.2,-0.3,,,21.3,71.4,-50.1,49.6,16.6,33.0,50.1,28.4,21.7,,15.9,40.4,12.8,,11.1,78.1,-67.0,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,2-3,8,ICM,GU,31.0,0.0,49.0,0.0,17.0,1.0,,,-18.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dec,9,10,ICM,OB,26.0,-5.0,53.0,4.0,17.0,0.0,,,-27.0,-9.0,,,,,,,,,,,,,,,,,,,,
,Dec,15-19,22,MORI,TT,22.0,-2.0,61.0,6.0,13.0,-4.0,,,-39.0,-8.0,,,,,,,,,,,,,,,,,,,,
,Dec,30-20,,G9000,,20.4,-2.8,60.9,3.5,14.3,-0.7,,,-40.5,-6.3,,,18.1,75.5,-57.4,55.3,17.0,38.3,50.8,28.4,22.4,,13.8,43.9,13.2,,9.7,81.1,-71.4,Are you satisfied or dissatisfied with the Government's record to date?
1995,Jan,4-9,13,Gallup,DT,18.5,-3.0,62.0,1.0,14.0,0.5,,,-43.5,-4.0,,,,,,,,,,,,,,,,,,,,
,Jan,12-13,15,Harris,ST,25.0,,60.0,,12.0,,,,-35.0,,,,,,,,,,,,,,,,,,,,,
,Jan,13-14,18,ICM,GU,30.0,4.0,48.0,-5.0,18.0,1.0,,,-18.0,9.0,,,,,,,,,,,,,,,,,,,,
,Jan,20-23,26,MORI,TT,27.0,5.0,56.0,-5.0,14.0,1.0,,,-29.0,10.0,,,,,,,,,,,,,,,,,,,,
,Jan,25-30,3,Gallup,DT,23.5,5.0,59.5,-2.5,13.0,-1.0,,,-36.0,7.5,,,,,,,,,,,,,,,,,,,,
,Jan,4-31,,G9000,,22.7,2.3,59.0,-1.9,13.7,-0.6,,,-36.3,4.2,,,18.4,74.6,-56.2,56.2,18.1,38.1,51.8,26.6,25.2,,14.7,43.5,12.5,,10.5,80.0,-69.5,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,10-11,17,ICM,GU,31.0,1.0,49.0,1.0,17.0,-1.0,,,-18.0,0.0,,,,,,,,,,,,,,,,,,,,
,Feb,17-20,24,MORI,TT,24.0,-3.0,58.0,2.0,14.0,0.0,,,-34.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Feb,22-27,3,Gallup,DT,20.5,-3.0,60.5,1.0,15.0,2.0,,,-40.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Feb,1-28,,G9000,,21.8,-0.9,59.5,0.5,13.7,0.0,,,-37.7,-1.4,,,19.1,74.1,-55.0,58.0,18.5,39.5,51.6,26.4,25.2,,14.8,43.4,12.9,,10.5,80.0,-69.5,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,10-11,15,ICM,GU,27.0,-4.0,52.0,3.0,17.0,0.0,,,-25.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Mar,17-20,23,MORI,TT,25.0,1.0,57.0,-1.0,13.0,-1.0,,,-32.0,2.0,,,,,,,,,,,,,,,,,,,,
,Mar,24,26,MORI,ST,25.0,0.0,59.0,2.0,12.0,-1.0,,,-34.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Mar,29-3,7,Gallup,DT,23.0,2.5,57.5,-3.0,15.0,0.0,,,-34.5,5.5,,,,,,,,,,,,,,,,,,,,
,Mar,1-28,,G9000,,23.4,1.6,58.0,-1.5,13.9,0.2,,,-34.6,3.1,,,20.8,71.7,-50.9,58.5,18.5,40.0,50.6,26.9,23.7,,15.5,42.5,12.3,,11.2,78.6,-67.4,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,7-8,13,ICM,GU,26.0,-1.0,51.0,-1.0,18.0,1.0,,,-25.0,0.0,,,,,,,,,,,,,,,,,,,,
,Apr,21-24,27,MORI,TT,26.0,1.0,56.0,-3.0,15.0,3.0,,,-30.0,4.0,,,,,,,,,,,,,,,,,,,,
,Apr,29/3-2/5,,G9000,,22.5,-0.9,57.2,-0.8,15.3,1.4,,,-34.7,-0.1,,,20.6,71.9,-51.3,60.6,18.2,42.4,52.3,25.5,26.8,,15.3,42.0,13.8,,11.5,79.0,-67.5,Are you satisfied or dissatisfied with the Government's record to date?
,May,3-8,12,Gallup,DT,23.0,0.0,55.5,-2.0,16.5,1.5,,,-32.5,2.0,,,,,,,,,,,,,,,,,,,,
,May,12-13,20,ICM,GU,29.0,3.0,48.0,-3.0,19.0,1.0,,,-19.0,6.0,,,,,,,,,,,,,,,,,,,,
,May,19-22,25,MORI,TT,22.0,-4.0,58.0,2.0,16.0,1.0,,,-36.0,-6.0,,,,,,,,,,,,,,,,,,,,
,May,31-5,9,Gallup,DT,20.0,-3.0,59.5,4.0,14.5,-2.0,,,-39.5,-7.0,,,,,,,,,,,,,,,,,,,,
,May,3-30,,G9000,,21.3,-1.2,57.4,0.2,16.6,1.3,,,-36.1,-1.4,,,20.5,72.2,-51.7,64.7,15.8,48.9,55.1,23.2,31.9,,14.7,44.1,12.7,,10.4,79.3,-68.9,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,9-10,16,ICM,GU,24.0,-5.0,53.0,5.0,19.0,0.0,,,-29.0,-10.0,,,,,,,,,,,,,,,,,,,,
,Jun,23-24,,MORI,,32.0,,54.0,,11.0,,,,-22.0,,Phone,,,,,,,,,,,,,,,,,,,
,Jun,23-26,29,MORI,TT,29.0,7.0,56.0,-2.0,13.0,-3.0,,,-27.0,9.0,,,,,,,,,,,,,,,,,,,,
,Jun,26-27,30,MORI,Econ,31.0,2.0,55.0,-1.0,11.0,-2.0,,,-24.0,3.0,,,,,,,,,,,,,,,,,,,,
,Jun,28-3,7,Gallup,DT,25.5,5.5,57.0,-2.5,13.0,-1.5,,,-31.5,8.0,,,,,,,,,,,,,,,,,,,,
,Jun,31/5-4/7,,G9000,,22.6,1.3,58.2,0.8,14.8,-1.8,,,-35.6,0.5,,,21.8,70.6,-48.8,65.8,14.8,51.0,53.4,24.5,28.9,,15.7,46.0,11.5,,11.9,77.8,-65.9,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,3,,MORI,,33.0,1.0,52.0,-2.0,10.0,-1.0,,,-19.0,3.0,Phone,,,,,,,,,,,,,,,,,,,
,Jul,7-8,13,ICM,GU,32.0,6.0,47.0,-6.0,17.0,-2.0,,,-15.0,12.0,,,,,,,,,,,,,,,,,,,,
,Jul,20-21,23,NOP,ST,27.0,,54.0,,14.0,,,,-27.0,,,,,,,,,,,,,,,,,,,,,
,Jul,21,,MORI,,30.0,-1.0,52.0,-3.0,13.0,2.0,,,-22.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jul,21-24,27,MORI,TT,26.0,-4.0,59.0,7.0,12.0,-1.0,,,-33.0,-11.0,,,,,,,,,,,,,,,,,,,,
,Jul,25-31,4,Gallup,DT,22.5,-3.0,57.5,0.5,14.5,1.5,,,-35.0,-3.5,,,,,,,,,,,,,,,,,,,,
,Jul,28-31,4,ICM,DE,33.0,1.0,46.0,-1.0,16.0,-1.0,,,-13.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jul,5/7-1/8,,G9000,,25.5,2.9,57.2,-1.0,12.9,-1.9,,,-31.7,3.9,,,26.4,64.7,-38.3,62.4,18.2,44.2,50.7,26.0,24.7,,20.8,41.8,10.8,,13.9,74.4,-60.5,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,4-5,10,ICM,GU,31.0,-2.0,48.0,2.0,17.0,1.0,,,-17.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Aug,17-18,20,NOP,ST,25.0,-2.0,54.0,0.0,17.0,3.0,,,-29.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Aug,25-28,31,MORI,TT,25.0,-1.0,56.0,-3.0,15.0,3.0,,,-31.0,2.0,,,,,,,,,,,,,,,,,,,,
,Aug,31-4,8,Gallup,DT,26.5,4.0,54.5,-3.0,14.0,-0.5,,,-28.0,7.0,,,,,,,,,,,,,,,,,,,,
,Aug,2-29,,G9000,,24.7,-0.8,55.5,-1.7,15.0,2.1,,,-30.8,0.9,,,25.6,66.4,-40.8,58.8,21.0,37.8,53.6,24.0,29.6,,18.5,39.4,13.0,,13.8,74.4,-60.6,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,8-9,14,ICM,GU,31.0,0.0,48.0,0.0,17.0,0.0,,,-17.0,0.0,,,,,,,,,,,,,,,,,,,,
,Sep,14-15,17,NOP,ST,27.0,2.0,53.0,-1.0,17.0,0.0,,,-26.0,3.0,,,,,,,,,,,,,,,,,,,,
,Sep,22-25,28,MORI,TT,28.0,3.0,51.0,-5.0,16.0,1.0,,,-23.0,8.0,,,,,,,,,,,,,,,,,,,,
,Sep,27-2,9,Gallup,DT,25.5,-1.0,55.5,1.0,14.0,0.0,,,-30.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Sep,31/8-3/10,,G9000,,26.2,1.5,54.4,-1.1,14.6,-0.4,,,-28.2,2.6,,,25.7,66.3,-40.6,55.5,23.6,31.9,54.2,23.4,30.8,,19.4,38.7,13.5,,13.2,75.6,-62.4,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,6-7,13,ICM,GU,29.0,-2.0,49.0,1.0,17.0,0.0,,,-20.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Oct,19-20,22,NOP,ST,26.0,-1.0,56.0,3.0,15.0,-2.0,,,-30.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Oct,21-23,26,MORI,TT,27.0,-1.0,56.0,5.0,13.0,-3.0,,,-29.0,-6.0,Phone,,,,,,,,,,,,,,,,,,,
,Oct,25-30,3,Gallup,DT,21.5,-4.0,61.0,5.5,14.5,0.5,,,-39.0,-9.5,,,,,,,,,,,,,,,,,,,,
,Oct,4-31,,G9000,,24.3,-1.9,58.9,4.5,13.0,-1.6,,,-34.6,-6.4,,,25.3,67.3,-42.0,63.1,19.2,43.9,53.7,24.4,29.3,,18.8,42.6,12.9,,14.7,73.9,-59.2,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,3-4,9,ICM,GU,30.0,1.0,47.0,-2.0,19.0,2.0,,,-17.0,3.0,,,,,,,,,,,,,,,,,,,,
,Nov,16-17,19,NOP,ST,27.0,1.0,55.0,-1.0,14.0,-1.0,,,-28.0,2.0,,,,,,,,,,,,,,,,,,,,
,Nov,17-20,23,MORI,TT,26.0,-1.0,56.0,0.0,14.0,1.0,,,-30.0,-1.0,,,,,,,,,,,,,,,,,,,,
,Nov,29-4,8,Gallup,DT,23.0,1.5,62.0,1.0,12.0,-2.5,,,-39.0,0.5,,,,,,,,,,,,,,,,,,,,
,Nov,30-1,2,NOP,ST,25.0,-2.0,57.0,2.0,15.0,1.0,,,-32.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Nov,1-28,,G9000,,24.3,,59.5,0.6,12.3,-0.7,,,-35.2,-0.6,,,25.1,66.8,-41.7,62.2,20.2,42.0,52.7,24.3,28.4,,17.9,42.0,12.6,,13.5,74.2,-60.7,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,1-4,8,MORI,TT,28.0,2.0,55.0,-1.0,13.0,-1.0,,,-27.0,3.0,,,,,,,,,,,,,,,,,,,,
,Dec,8-9,15,ICM,GU,31.0,1.0,48.0,1.0,16.0,-3.0,,,-17.0,0.0,,,,,,,,,,,,,,,,,,,,
,Dec,13-14,7,ICM,OB,30.0,-1.0,50.0,2.0,14.0,-2.0,,,-20.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Dec,14-15,17,NOP,ST,25.0,0.0,55.0,-2.0,16.0,1.0,,,-30.0,2.0,,,,,,,,,,,,,,,,,,,,
,Dec,29/11-19/12,,G9000,,24.7,0.4,58.0,-1.5,13.0,0.7,,,-33.3,1.9,,,26.6,65.4,-38.8,63.5,19.4,44.1,52.6,24.7,27.9,,18.5,42.2,12.0,,14.7,74.5,-59.8,Are you satisfied or dissatisfied with the Government's record to date?
1996,Jan,3,7?,NOP,ST,29.0,4.0,52.0,-3.0,13.0,-3.0,,,-23.0,7.0,,,,,,,,,,,,,,,,,,,,
,Jan,3-8,12,Gallup,DT,21.0,-2.0,60.5,-1.5,14.5,2.5,,,-39.5,-0.5,,,,,,,,,,,,,,,,,,,,
,Jan,5-6,11,ICM,GU,26.0,-4.0,48.0,-2.0,22.0,8.0,,,-22.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Jan,17,19??,NOP,ST,33.0,4.0,47.0,-5.0,14.0,1.0,,,-14.0,9.0,,,,,,,,,,,,,,,,,,,,
,Jan,18-19,21,NOP,ST,28.0,-5.0,52.0,5.0,17.0,3.0,,,-24.0,-10.0,,,,,,,,,,,,,,,,,,,,
,Jan,19-22,25,MORI,TT,29.0,1.0,55.0,0.0,13.0,0.0,,,-26.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jan,26-29,,MORI,,28.0,-1.0,54.0,-1.0,15.0,2.0,,,-26.0,0.0,,,,,,,,,,,,,,,,,,,,
,Jan,3-30,,G9000,,23.1,-1.6,55.6,-2.4,16.8,3.8,,,-32.5,0.8,,,24.4,67.7,-43.3,60.4,21.5,38.9,55.1,22.2,32.9,,17.2,40.6,14.2,,13.8,74.7,-60.9,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,1-5,9,Gallup,DT,28.0,7.0,54.5,-6.0,14.5,0.0,,,-26.5,13.0,,,,,,,,,,,,,,,,,,,,
,Feb,2-4,7,ICM,GU,31.0,5.0,47.0,-1.0,19.0,-3.0,,,-16.0,6.0,,,,,,,,,,,,,,,,,,,,
,Feb,9-12,,MORI,,26.0,-2.0,57.0,3.0,14.0,-1.0,,,-31.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Feb,15-16,18,NOP,ST,28.0,0.0,50.0,-2.0,17.0,0.0,,,-22.0,2.0,,,,,,,,,,,,,,,,,,,,
,Feb,23-26,29,MORI,TT,26.0,0.0,57.0,0.0,14.0,0.0,,,-31.0,0.0,,,,,,,,,,,,,,,,,,,,
,Feb,29-4,8,Gallup,DT,23.0,-5.0,57.5,3.0,16.0,1.5,,,-34.5,-8.0,,,,,,,,,,,,,,,,,,,,
,Feb,1-27,,G9000,,25.4,2.3,55.4,-0.2,14.9,-1.9,,,-30.0,2.5,,,24.5,67.7,-43.2,58.5,23.5,35.0,57.0,21.1,35.9,,18.3,38.2,14.9,,14.4,74.7,-60.3,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,2-4,7,ICM,GU,31.0,0.0,45.0,-2.0,20.0,1.0,,,-14.0,2.0,,,,,,,,,,,,,,,,,,,,
,Mar,8-11,,MORI,,29.0,3.0,55.0,-2.0,13.0,-1.0,,,-26.0,5.0,,,,,,,,,,,,,,,,,,,,
,Mar,14,17,NOP,ST,29.0,1.0,53.0,3.0,14.0,-3.0,,,-24.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Mar,22-25,,MORI,TT,28.0,-1.0,57.0,2.0,13.0,0.0,,,-29.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Mar,27-1,5,Gallup,DT,26.0,3.0,55.5,-2.0,15.5,-0.5,,,-29.5,5.0,,,,,,,,,,,,,,,,,,,,
,Mar,29/2-2/4,,G9000,,23.9,-1.5,57.3,1.9,15.1,0.2,,,-33.4,-3.4,,,25.2,67.1,-41.9,61.5,20.8,40.7,56.5,21.5,35.0,,17.8,41.8,13.9,,13.3,75.3,-62.0,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,12-13,18,ICM,GU,29.0,-2.0,50.0,5.0,17.0,-3.0,,,-21.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Apr,19-22,25,MORI,TT,28.0,0.0,54.0,-3.0,14.0,1.0,,,-26.0,3.0,,,,,,,,,,,,,,,,,,,,
,Apr,25,28,NOP,ST,29.0,0.0,51.0,-2.0,14.0,1.0,,,-22.0,2.0,,,,,,,,,,,,,,,,,,,,
,Apr,27,,MORI,,29.0,1.0,54.0,0.0,13.0,-1.0,,,-25.0,1.0,,,,,,,,,,,,,,,,,,,,
,Apr,3-30,,G9000,,23.8,-0.1,57.2,-0.1,14.3,-0.8,,,-33.4,0.0,,,24.1,67.9,-43.8,62.6,21.1,41.5,58.1,21.0,37.1,,17.2,42.1,13.8,,14.0,73.6,-59.6,Are you satisfied or dissatisfied with the Government's record to date?
,May,1-3,5,ICM,SE,31.0,2.0,45.0,-5.0,21.0,4.0,,,-14.0,7.0,,,,,,,,,,,,,,,,,,,,
,May,1-6,10,Gallup,DT,24.5,-1.5,55.5,0.0,15.5,0.0,,,-31.0,-1.5,,,,,,,,,,,,,,,,,,,,
,May,3-5,9,ICM,GU,28.0,-3.0,45.0,0.0,21.0,0.0,,,-17.0,-3.0,,,,,,,,,,,,,,,,,,,,
,May,10-13,,MORI,,27.0,-2.0,56.0,2.0,13.0,0.0,,,-29.0,-4.0,,,,,,,,,,,,,,,,,,,,
,May,16,19,NOP,ST,27.0,-2.0,52.0,1.0,17.0,3.0,,,-25.0,-3.0,,,,,,,,,,,,,,,,,,,,
,May,23-26,30,MORI,TT,27.0,0.0,54.0,-2.0,15.0,2.0,,,-27.0,2.0,,,,,,,,,,,,,,,,,,,,
,May,30-3,7,Gallup,DT,22.5,-2.0,57.0,1.5,16.0,0.5,,,-34.5,-3.5,,,,,,,,,,,,,,,,,,,,
,May,31-2,4,ICM,GU,30.0,2.0,46.0,1.0,19.0,-2.0,,,-16.0,1.0,,,,,,,,,,,,,,,,,,,,
,May,1-28,,G9000,,24.3,0.5,54.8,-2.4,16.0,1.7,,,-30.5,2.9,,,24.2,68.3,-44.1,60.2,22.3,37.9,58.7,20.2,38.5,,17.5,39.2,15.6,,13.8,73.8,-60.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,5-6,5,ICM,GU,30.0,,46.0,,19.0,,,,-16.0,,Phone,,,,,,,,,,,,,,,,,,,
,Jun,7-10,,MORI,,27.0,0.0,56.0,2.0,13.0,-2.0,,,-29.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Jun,20,23,NOP,ST,31.0,4.0,50.0,-2.0,15.0,-2.0,,,-19.0,6.0,,,,,,,,,,,,,,,,,,,,
,Jun,21-24,27,MORI,TT,31.0,4.0,52.0,-4.0,12.0,-1.0,,,-21.0,8.0,,,,,,,,,,,,,,,,,,,,
,Jun,27-1,4,Gallup,DT,26.0,3.5,54.5,-2.5,14.5,-1.5,,,-28.5,6.0,,,,,,,,,,,,,,,,,,,,
,Jun,28-1,,MORI,,32.0,1.0,52.0,0.0,12.0,0.0,,,-20.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jun,29/5-2/7,,G9000,,26.1,1.8,54.9,0.1,14.5,-1.5,,,-28.8,1.7,,,25.1,66.9,-41.8,59.6,22.6,37.0,56.7,22.1,34.6,,18.9,38.4,14.7,,15.0,72.2,-57.2,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,5-6,11,ICM,GU,30.0,0.0,45.0,-1.0,21.0,2.0,,,-15.0,1.0,Phone,,,,,,,,,,,,,,,,,,,
,Jul,23-28,1,MORI,TT,29.0,-3.0,53.0,1.0,12.0,0.0,,,-24.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Jul,25,28,NOP,ST,31.0,0.0,48.0,-2.0,16.0,1.0,,,-17.0,2.0,,,,,,,,,,,,,,,,,,,,
,Jul,31-5,9,Gallup,DT,25.0,-1.0,59.0,4.5,11.0,-3.5,,,-34.0,-5.5,,,,,,,,,,,,,,,,,,,,
,Jul,3-31,,G9000,,27.0,0.9,54.1,-0.8,14.0,-0.5,,,-27.1,1.7,,,26.1,65.7,-39.6,56.8,24.9,31.9,56.5,22.0,34.5,,18.4,37.7,14.8,,15.0,71.5,-56.5,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,2-3,7,ICM,GU,33.0,3.0,45.0,-1.0,19.0,0.0,,,-12.0,4.0,,,,,,,,,,,,,,,,,,,,
,Aug,9-12,,MORI,,30.0,1.0,52.0,-1.0,13.0,1.0,,,-22.0,2.0,,,,,,,,,,,,,,,,,,,,
,Aug,15,18,NOP,ST,30.0,-1.0,51.0,3.0,15.0,-1.0,,,-21.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Aug,20-25,29,MORI,TT,30.0,0.0,51.0,-1.0,13.0,0.0,,,-21.0,1.0,,,,,,,,,,,,,,,,,,,,
,Aug,28-3,6,Gallup,DT,25.5,0.5,58.5,-0.5,11.0,0.0,,,-33.0,1.0,,,,,,,,,,,,,,,,,,,,
,Aug,31/7-3/9,,G9000,,26.9,-0.1,53.3,-0.8,13.8,-0.2,,,-26.4,0.7,,,26.5,65.5,-39.0,53.4,28.5,24.9,54.8,22.8,32.0,,19.4,36.1,14.6,,16.3,71.1,-54.8,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,6-7,13,ICM,GU,32.0,-1.0,47.0,2.0,16.0,-3.0,,,-15.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Sep,6-9,,MORI,,28.0,-2.0,56.0,5.0,12.0,-1.0,,,-28.0,-7.0,,,,,,,,,,,,,,,,,,,,
,Sep,20-23,26,MORI,TT,29.0,1.0,52.0,-4.0,14.0,2.0,,,-23.0,5.0,,,,,,,,,,,,,,,,,,,,
,Sep,19,22,NOP,ST,31.0,1.0,50.0,-1.0,14.0,-1.0,,,-19.0,2.0,,,,,,,,,,,,,,,,,,,,
,Sep,18-24,30,Gallup,DT,27.0,1.5,54.0,-4.5,13.5,2.5,,,-27.0,6.0,,,,,,,,,,,,,,,,,,,,
,Sep,26-1,5,Gallup,DT,27.5,0.5,52.0,-2.0,15.0,1.5,,,-24.5,2.5,,,,,,,,,,,,,,,,,,,,
,Sep,4/9-1/10,,G9000,,27.0,0.1,54.1,0.8,13.9,0.1,,,-27.1,-0.7,,,27.8,64.3,-36.5,56.3,25.4,30.9,56.3,21.7,34.6,,20.5,37.7,14.3,,17.4,70.0,-52.6,Are you satisfied or dissatisfied with the Government's record to date?
,Oct,3,6,NOP,ST,29.0,-2.0,52.0,2.0,13.0,-1.0,,,-23.0,-4.0,,,,,,,,,,,,,,,,,,,,
,Oct,3-4,5,Gallup,DT,24.0,-3.5,57.0,5.0,15.0,0.0,,,-33.0,-8.5,,,,,,,,,,,,,,,,,,,,
,Oct,4-5,8,ICM,GU,31.0,-1.0,49.0,2.0,16.0,0.0,,,-18.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Oct,4-7,,MORI,,29.0,0.0,54.0,2.0,13.0,-1.0,,,-25.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Oct,11-14,,MORI,,30.0,1.0,53.0,-1.0,12.0,-1.0,,,-23.0,2.0,,,,,,,,,,,,,,,,,,,,
,Oct,17,20,NOP,ST,33.0,4.0,47.0,-5.0,14.0,1.0,,,-14.0,9.0,,,,,,,,,,,,,,,,,,,,
,Oct,18-21,,MORI,,27.0,,54.0,1.0,12.0,0.0,,,-27.0,,Phone,,,,,,,,,,,,,,,,,,,
,Oct,25-28,31,MORI,TT,28.0,-2.0,56.0,3.0,12.0,0.0,,,-28.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Oct,30-1,,MORI,,30.0,3.0,54.0,0.0,12.0,0.0,,,-24.0,3.0,Phone,,,,,,,,,,,,,,,,,,,
,Oct,30-5,8,Gallup,DT,28.0,4.0,55.0,-2.0,11.0,-4.0,,,-27.0,6.0,,,,,,,,,,,,,,,,,,,,
,Oct,21-29?,,G9000,,25.8,-1.2,54.7,0.6,15.0,1.1,,,-28.9,-1.8,,,27.5,62.6,-35.1,59.4,22.4,37.0,57.5,19.6,37.9,,20.5,37.9,14.2,,16.8,69.0,-52.2,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,1-2,7,ICM,GU,34.0,3.0,47.0,-2.0,15.0,-1.0,,,-13.0,5.0,,,,,,,,,,,,,,,,,,,,
,Nov,8-11,15,MORI,TT,33.0,5.0,50.0,-6.0,12.0,0.0,,,-17.0,11.0,,,,,,,,,,,,,,,,,,,,
,Nov,14,17,NOP,ST,30.0,-3.0,50.0,3.0,15.0,1.0,,,-20.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Nov,27-29,,MORI,,30.0,-3.0,52.0,2.0,13.0,1.0,,,-22.0,-5.0,,,,,,,,,,,,,,,,,,,,
,Nov,30/10-26/11,,G9000,,25.8,0.0,55.8,1.1,12.6,-2.4,,,-30.0,-1.1,,,28.4,63.2,-34.8,60.5,22.7,37.8,56.5,21.4,35.1,,21.2,38.8,12.9,,18.2,67.8,-49.6,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,27-2,6,Gallup,DT,22.0,-6.0,59.0,4.0,12.0,1.0,,,-37.0,-10.0,,,,,,,,,,,,,,,,,,,,
,Nov,29-1,3,ICM,GU,31.0,-3.0,50.0,3.0,15.0,0.0,,,-19.0,-6.0,,,,,,,,,,,,,,,,,,,,
,Dec,6-9,12,MORI,TT,30.0,0.0,51.0,-1.0,13.0,0.0,2.0,,-21.0,1.0,,,,,,,,,,,,,,,,,,,,
,Dec,12,15,NOP,ST,31.0,1.0,50.0,0.0,14.0,-1.0,1.0,,-19.0,1.0,,,,,,,,,,,,,,,,,,,,
,Dec,,,Gallup,,28.5,,52.5,,11.5,,,,-24.0,,Change of methodology,,,,,,,,,,,,,,,,,,,
,Dec,27/11-17/12,,G9000,,30.5,,51.0,,12.7,,,,-20.5,,Change of methodology,,29.7,62.3,-32.6,56.5,26.7,29.8,54.6,23.8,30.8,,23.7,36.0,13.8,,19.3,67.8,-48.5,Are you satisfied or dissatisfied with the Government's record to date?
