Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,Govt good,Govt bad,Govt net,Question
,May,20-26,29,NOP,DM,44.8,0.4,48.0,0.4,5.9,-0.8,-3.2,0.0,,,,,,,,,,,,,,,,,
,May,,31,ORC,ST,47.0,4.0,45.0,0.0,5.0,-5.0,2.0,4.0,,,,,,,,,,,,,,,,,
,May,23-26,31,Gallup,DT,44.5,2.0,50.0,0.5,4.5,-2.0,-5.5,1.5,,,,,,,,,,,,,,,,,
,May,27-31,4,NOP,DM,44.4,-0.8,49.5,1.5,4.8,-1.1,-5.1,-1.9,,,,,,,,,,,,,,,,,
,May,31-4,7,Gallup,DT,44.0,-0.5,49.5,-0.5,5.0,0.5,-5.5,0.0,,,,,,,,,,,,,,40.0,45.0,-5.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,,3,Harris,DE,43.0,-3.0,48.0,0.0,7.0,1.0,-5.0,-3.0,,,,,,,,,,,,,,,,,
,Jun,,4,ORC,ES,43.0,-4.0,47.5,2.5,8.0,4.0,-4.5,-6.5,,,,,,,,,,,,,,,,,
,Jun,,6,Marplan,TT,44.4,-0.1,48.1,0.9,6.2,-0.4,-3.7,-1.0,UK not GB,,,,,,,,,,,,,,,,
,Jun,,7,ORC,ST,45.0,2.0,47.0,-0.5,7.0,-1.0,-2.0,2.5,,,,,,,,,,,,,,,,,
,Jun,,11,ORC,ES,42.0,-3.0,49.0,2.0,8.0,1.0,-7.0,5.0,,,,,,,,,,,,,,,,,
,Jun,?-7,12,Harris,DE,42.0,-1.0,49.0,1.0,8.0,1.0,-7.0,-2.0,,,,,,,,,,,,,,,,,
,Jun,3-7,12,NOP,DM,39.2,-5.2,51.6,2.1,7.9,3.1,-12.4,-7.3,,,,,,,,,,,,,,,,,
,Jun,7-11,14,Gallup,DT,45.5,1.5,48.0,-1.5,5.5,0.5,-2.5,3.0,,,,,,51.0,,,,,,,,,,,
,Jun,?-14,17,Harris,DE,45.0,3.0,47.0,-2.0,7.0,-1.0,-2.0,5.0,,,,,,,,,,,,,,,,,
,Jun,11-14,17,Marplan,TT,41.5,-2.9,50.2,2.1,7.0,0.8,-8.7,-5.0,UK not GB,"9.6 excluding NI (Hodder-Williams, Public opinion polls and British politics, p.x)",,,,,,,,,,,,,,,
,Jun,12-16,18,NOP,DM,44.0,4.8,48.1,-3.5,6.4,-1.5,-4.1,8.3,Reinterviews,,,,,,,,,,,,,,,,
,Jun,13-17,18,ORC,ES,46.5,4.5,45.5,-3.5,6.5,-1.5,1.0,8.0,Quota plus reinterviews,,,,,,,,,,,,,,,,
,Jun,14-16,18,Gallup,DT,42.0,-3.5,49.0,1.0,7.5,2.0,-7.0,-4.5,,,,,,,,,,,,,,,,,
,Jun,14-16?,18,Harris,DE,46.0,1.0,48.0,1.0,5.0,-2.0,-2.0,0.0,Includes reinterviews,20 May - 16 June is given on Wikpedia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,Result,,46.2,,43.8,,7.6,,2.4,,,,,,,,,,,,,,,,,,
